Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews
Red Pepper Cafe,London,Contemporary,,,,,
Traffic,London,International,,,,,
Sport London E Benfica,London,"European, Portuguese",,,,,
Druxys,London,Fast Food,,,,,
Kikii Bar & Restaurant,London,Asian,,,$$ - $$$,,
Al Moj,London,"Lebanese, Mediterranean",,,$$ - $$$,,
Vafresco,London,,,,,,
entremets patisserie,London,,,,,,
The Summerhouse at The Worlds End,London,American,,,$$ - $$$,,
Tochal Restaurant,London,"Middle Eastern, Persian",,,,,
Spice Cottage Ltd,London,"Indian, Thai",,,$$ - $$$,,
Village Fish Bar,London,"Seafood, Asian, Malaysian",,,,,
Gardiners,London,Cafe,,,,,
The Bonnie and Wild,London,British,,,$$$$,,
ICN cafe,London,Japanese,,,$,,
Starburger,London,Turkish,,,,,
The Green Monkey,London,Healthy,,,,,
The Viceroy,London,Indian,,,,,
Nosh,London,European,,,,,
L & K,London,Israeli,,,,,
Mr Chickpea,London,Turkish,,,,,
Eurocafe,London,British,,,,,
Gurkha Inn,London,"Indian, Asian, Nepali",,,$$ - $$$,,
The Rose Garden,London,"Middle Eastern, Persian, Afghani, Halal",,,,,
le pont,London,International,,,,,
Giuliana,London,Italian,,,,,
Relay Tea Room,London,,,,,,
Sabor Latino,London,"Latin, Spanish",,,,,
Ultra Lounge,London,"Seafood, International, Mediterranean",,,$$ - $$$,,
Tahchin,London,"Middle Eastern, Persian",,,,,
Gourmet Caribbean,London,Caribbean,,,,,
Le Tipico Cafe,London,"Mediterranean, European",,,,,
Peppers,London,Indian,,,,,
the woodlands tavern,London,British,,,,,
Leighton Tandoori,London,Indian,,,,,
DOMINO,London,Italian,,,,,
Ararat,London,"Mediterranean, Eastern European, Armenian",,,,,
Skylight Cafe,London,International,,,,,
White Swan,London,"European, Hungarian",,,,,
The Little Basque,London,"French, Spanish",,,,,
Batter,London,Italian,,,,,
2 Friends,London,Greek,,,,,
Cucuroo,London,Japanese,,,,,
Veg,London,Thai,,,,,
Hillside Restaurant and wine bar,London,"Caribbean, Wine Bar",,,,,
Chennai Tosai,London,Indian,,,,,
Local Friends,London,Chinese,,,,,
Dolce,London,Italian,,,,,
Costa DO Estoril,London,"European, Portuguese",,,,,
Thai Jen,London,Thai,,,,,
Da Vinci,London,Italian,,,,,
The Garden Bistro,London,Mediterranean,,,,,
Celebrations,London,Indian,,,,,
Market House,London,British,,,,,
The Fitzrovia Kitchen,London,Cafe,,,,,
Pizza Napolli,London,Italian,,,,,
Oh my...Coffee Shop,London,Cafe,,,,,
Angelas Restaurant,London,Greek,,,,,
Lytellton Cafe,London,Contemporary,,,,,
Pane Caffe,London,Cafe,,,,,
Cho Cho Restaurant and Bar,London,Caribbean,,,,,
Wabi shebele,London,"African, Ethiopian",,,,,
Delhi Bicycle,London,"Indian, Asian, Bangladeshi",,,,,
Anema e corde,London,Italian,,,,,
Royal Osk,London,British,,,,,
PappaRoty,London,Cafe,,,,,
La Hacienda,London,Mexican,,,,,
Hunan Generals Mansion,London,Chinese,,,,,
Mourinhos Dine & Wine,London,Mediterranean,,,$,,
Bridge Cafe,London,Cafe,,,,,
Talk Of The Town,London,Caribbean,,,,,
Vicci,London,British,,,,,
Dafs Lounge,London,"Wine Bar, Middle Eastern, Persian",,,,,
3 Spice,London,"Indian, Thai",,,,,
Indian Ocean,London,"Indian, Seafood",,,,,
Atrium SW1,London,,,,,,
Chewies,London,Cafe,,,,,
Jasmine Patisserie,London,Contemporary,,,,,
Pasticceria Amalfi Cakes,London,Cafe,,,,,
Silver Lake,London,Chinese,,,,,
Yazs diner,London,Asian,,,,,
East West Oriental Store and Cafe,London,"Asian, Indonesian",,,,,
Asian Twist Delicious,London,"Asian, Malaysian",,,,,
Valentin,London,Italian,,,,,
Pizza House Diva,London,Italian,,,,,
Eastern Ray,London,"Asian, Russian",,,,,
se26 6xw,London,Italian,,,,,
Lavang,London,Indian,,,,,
Departure,London,"Cafe, Soups",,,,,
Casa Rex,London,,,,,,
Mahas deli,London,Cafe,,,,,
Golden City,London,"Chinese, Asian, Thai, Malaysian",,,,,
Tonys Restaurant and Bar,London,American,,,,,
Oasis,London,Asian,,,,,
Moon Pizza,London,Pizza,,,,,
Greek Returants,London,Greek,,,,,
playing live Music,London,Fusion,,,,,
Eat,London,Cafe,,,,,
Milika,London,,,,,,
Kebabshish,London,"Indian, Middle Eastern, Pakistani",,,,,
Linda,London,British,,,,,
Auntie Naan,London,Indian,,,,,
37 Brushfield Street,London,French,,,,,
New York Pizza,London,,,,,,
Big Fried Chicken,London,,,,,,
Sushi-so,London,Sushi,,,,,
Celestial,London,,,,,,
Addictive,London,,,,,,
Dallas Chicken And Ribs,London,Barbecue,,,,,
Macs,London,,,,,,
KFC,London,American,,,,,
Sapa Rice Noodle Bar,London,Asian,,,,,
R K Indian Takeaway,London,Indian,,,,,
Kennedy Fried Chicken,London,,,,,,
Chicken Feast,London,,,,,,
Earl Of Portobello,London,,,,,,
Mahal,London,,,,,,
Ancient Grill,London,,,,,,
Kavanna,London,,,,,,
Korona,London,,,,,,
Mengs Well Cooked Chinese Takeaway,London,Chinese,,,,,
Mcdonalds Restaurant,London,,,,,,
Kebab Hut,London,,,,,,
Flaming Great,London,,,,,,
Adwoas Kitchen,London,,,,,,
Palace Chine,London,,,,,,
City Pizza,London,,,,,,
Desi Touch,London,,,,,,
Thai Hot Wok,London,"Chinese, Thai",,,,,
Pizza Bella And Chicken Spot,London,,,,,,
Zaaras Kitchen,London,,,,,,
Violet,London,,,,,,
Udupi Palace,London,,,,,,
Doner Hut,London,,,,,,
Tai Luck,London,,,,,,
Zams Chicken,London,,,,,,
Thuan Kieu,London,,,,,,
Caffe Uno,London,,,,,,
Assorti,London,,,,,,
Perfect Fried Chicken,London,,,,,,
Hot Wok,London,Chinese,,,,,
Shams Fish Bar,London,Seafood,,,,,
Classic Wok,London,Chinese,,,,,
Pavarottis,London,,,,,,
Plantation Inn,London,,,,,,
Caffe Tosca Sandwich Bar,London,,,,,,
Pizza Go Go,London,,,,,,
New Graces Chinese Restaurant,London,Chinese,,,,,
Ploy Thai,London,Thai,,,,,
Chelsea Brasserie,London,French,,,,,
Sema Indian Balti Cuisine,London,Indian,,,,,
Mr King Fish Bar,London,Seafood,,,,,
Mangiare,London,,,,,,
Sun Hing Chinese Takeaway,London,Chinese,,,,,
Unique Flavourz,London,,,,,,
Delhi Hut,London,Indian,,,,,
Pizza Go Go,London,,,,,,
Duncans Traditional Fayre,London,,,,,,
Pizza Go Go,London,,,,,,
Harbour City,London,,,,,,
Olympic Pizza And Chicken,London,,,,,,
Tai Hing,London,,,,,,
Pizza Go Go,London,,,,,,
Chilli Pot,London,,,,,,
Aroma Spice,London,Thai,,,,,
Tennessee Fried Chicken,London,,,,,,
Top Pizza,London,,,,,,
Pizza Republic,London,Pub,,,,,
Super Pizza,London,,,,,,
Lal Fort,London,,,,,,
Lal Fort,London,,,,,,
PFC Peri Peri,London,,,,,,
Chasing Dragon,London,,,,,,
Hot Wok,London,Chinese,,,,,
Swallow House,London,,,,,,
Dominos Pizza,London,Pizza,,,,,
Ocean Pride Fish Bar,London,Seafood,,,,,
Alex Wok,London,Chinese,,,,,
Chicago Pizza,London,,,,,,
LAtelier Fromages Et Vins,London,,,,,,
Neighbours Food Bar,London,,,,,,
Aso Rock,London,,,,,,
Welcome Friends,London,,,,,,
Shahi Sizzler,London,,,,,,
Tanyas Take Away,London,,,,,,
Rawsha Grill,London,,,,,,
Lees New Peking,London,,,,,,
Spice 2000,London,Thai,,,,,
Best Grill Restaurant,London,American,,,,,
Mcdonalds Restaurant,London,,,,,,
Le Fez,London,,,,,,
The Rose,London,,,,,,
Hot Wok,London,Chinese,,,,,
Great Wall Chinese Takeaway,London,Chinese,,,,,
Oasis Bars,London,,,,,,
Hello Pizza,London,,,,,,
Pinza,London,,,,,,
Boozy Call,London,,,,,,
New China Well,London,Chinese,,,,,
Favorite Chicken And Ribs,London,Barbecue,,,,,
Pizza Peppino,London,Barbecue,,,,,
Chori Chori Indian Kitchen,London,Indian,,,,,
Dixy Chicken,London,,,,,,
Pashas,London,,,,,,
Ichiban,London,Japanese,,,,,
Tasty,London,,,,,,
Gabbys Caribbean Takeaway,London,,,,,,
Marys Supreme Fish Bar,London,Seafood,,,,,
Red Planet,London,,,,,,
Ahir Lorenzos,London,,,,,,
Chicken Valley,London,,,,,,
Favorite Chicken And Ribs,London,Barbecue,,,,,
Spice Kitchen 2,London,Thai,,,,,
Iraqi Grill House,London,,,,,,
Tub Tim Restaurant And Noodle Bar,London,Asian,,,,,
Classico Wood Fired Pizza,London,,,,,,
Just Indian,London,Indian,,,,,
Four Seasons Chinese Takeaway,London,Chinese,,,,,
Super Wok,London,Chinese,,,,,
Ming Chinese,London,Chinese,,,,,
Belfords Pizzas,London,,,,,,
Angel Restaurant,London,,,,,,
Fields Delicatessen,London,,,,,,
BBQ Xpress,London,Barbecue,,,,,
Afc Fried Chicken And Pizza,London,,,,,,
Pizza Go Go,London,,,,,,
Swan Chinese,London,Chinese,,,,,
The Retro Pub,London,"American, Pub",,,,,
Hawasana,London,,,,,,
Yeung Sing,London,,,,,,
All In One Pizza,London,,,,,,
Victory Chinese,London,Chinese,,,,,
Britannia Restaurant,London,,,,,,
Moon Lee,London,,,,,,
Jasmine Garden,London,,,,,,
Mcdonalds Restaurant,London,,,,,,
The Steam Room,London,,,,,,
Hot And Smokey,London,Barbecue,,,,,
Oriental Masterchef,London,,,,,,
Bharat Tandoori,London,Indian,,,,,
Wandsworth,London,Indian,,,,,
Mr and Mrs Falafel,London,"Lebanese, Fast Food, Mediterranean, Middle Eastern",,,,,
Aniz,London,"Middle Eastern, Afghani",,,,,
Dilkush Tandoori Indian Takeaway,London,"Indian, Asian, British, Bangladeshi",,,,,
Brewsters N7,London,Cafe,,,,,
Venus Taverna,London,Greek,,,,,
Kfc,London,American,,,,,
Kfc,London,American,,,,,
Tasty Fried Chicken,London,,,,,,
Pizza Fiamma,London,,,,,,
Subway,London,,,,,,
Deshi Kitchen,London,,,,,,
Favourite African Restaurant,London,,,,,,
Indian Buffalo,London,Indian,,,,,
Moonlight Tandoori,London,Indian,,,,,
Oriental Way,London,,,,,,
Speedo Pizza,London,,,,,,
Corner Express,London,,,,,,
Kfc,London,American,,,,,
Hot Pizza,London,,,,,,
Roxbury Bar And Grill,London,,,,,,
Kebabs And Burger Bar,London,,,,,,
Dancing Elephant,London,,,,,,
Yank Pizza,London,,,,,,
Golden Orient,London,,,,,,
The Yeast Noodle Bar,London,Asian,,,,,
Le Moulin,London,,,,,,
Fait Maison,London,,,,,,
Kings Pizza,London,,,,,,
Pizza X,London,,,,,,
Cafe Raj,London,,,,,,
Hackney London Turkish,London,Turkish,,,,,
Chicken And Pizza,London,,,,,,
Zams Chicken,London,,,,,,
Shawarma,London,Middle Eastern,,,,,
Sitar Tandoori,London,Indian,,,,,
Common,London,,,,,,
Sally At St Mary,London,,,,,,
Great Wall Chinese Takeaway,London,Chinese,,,,,
Hamifgash,London,,,,,,
Broadway Fish Bar,London,Seafood,,,,,
Crown Fried Chicken Take Away,London,,,,,,
Tasty Peking Cuisine,London,,,,,,
Funky Chicken,London,,,,,,
Jackos Fish Bar,London,Seafood,,,,,
Myddeltons Delicatessen,London,,,,,,
Euro Fried Chicken,London,,,,,,
La Campana,London,,,,,,
Chicken Cottage,London,,,,,,
Dominics Pizza,London,,,,,,
Dominics Pizza,London,,,,,,
Take Two,London,,,,,,
Subway,London,,,,,,
Villa Bombay,London,,,,,,
Dominos Pizza,London,Pizza,,,,,
No. 3 Bar Bistro,London,,,,,,
Blagclub,London,,,,,,
Curries Xpress,London,,,,,,
Swagga,London,,,,,,
Mas Burritos,London,Mexican,,,,,
Indian Ace,London,Indian,,,,,
The Green Room And Jos Diner,London,,,,,,
Ho Wah Chinese Takeaway,London,Chinese,,,,,
New Shanghai,London,,,,,,
The Chicken City,London,,,,,,
The Icecreamists,London,,,,,,
Darius Restaurant,London,,,,,,
Gold Lee,London,,,,,,
Paradise Cafe,London,,,,,,
Pizza Lovers,London,,,,,,
Wing Wah,London,,,,,,
Callaghans Irish Bar And Restaurant,London,Pub,,,,,
New Chicken Spot Peri Peri,London,,,,,,
Aran Caterers,London,,,,,,
Pizza Palace,London,,,,,,
Swaad,London,,,,,,
Mogul Palace,London,,,,,,
The Caribbean Connection,London,,,,,,
Urban Caprice,London,,,,,,
Appetite,London,,,,,,
The Karmasutra Takeaway,London,,,,,,
Kebab World,London,,,,,,
Silver Fish Bar,London,Seafood,,,,,
Morleys,London,,,,,,
Perfect Bite,London,,,,,,
G Franco Pizzeria,London,Pizza,,,,,
Favorite Chicken And Ribs,London,Barbecue,,,,,
U K F Pizza,London,,,,,,
Nannas Chicken N Pizza,London,,,,,,
Speedo Pizza,London,,,,,,
Dinos,London,,,,,,
Southern Fried Chicken,London,,,,,,
Yidmias Spicy Kitchen,London,,,,,,
Golden Skylark,London,,,,,,
Amaretto Caffe,London,,,,,,
The New Lotus House,London,,,,,,
MW Eat,London,,,,,,
Kings Lounge,London,,,,,,
A10 Russian Bar,London,,,,,,
Bamboo,London,,,,,,
Gousia Tandoori,London,Indian,,,,,
Pizza Vesuvio,London,,,,,,
Spice Root,London,Thai,,,,,
Shun Lung,London,,,,,,
Anwara Tandoori,London,Indian,,,,,
Tops Pizza,London,,,,,,
Daniels Bar And Restaurant,London,,,,,,
Good Years,London,,,,,,
Chasing Dragon,London,,,,,,
Lakshabay Express,London,,,,,,
Eastern Spice,London,Thai,,,,,
Angels Cafe,London,,,,,,
Fresh N Hot Chicken & Kebab,London,,,,,,
Caffe Palazzo,London,,,,,,
Bardolino,London,,,,,,
Caribbean Hq,London,,,,,,
Laughing Buddha House,London,,,,,,
Dusit,London,,,,,,
Chicken Express,London,American,,,,,
Chasing Dragon,London,,,,,,
Mighty Chicken And Ribs,London,Barbecue,,,,,
Dallas Chicken & Ribs,London,Barbecue,,,,,
Ado Lounge,London,,,,,,
All Noodle Bar,London,Asian,,,,,
Cinnamon,London,,,,,,
Andrea Doria Restaurant,London,,,,,,
Le Petit Venice,London,,,,,,
Favorite Fried Chicken,London,,,,,,
Chicken and Grill Express,London,,,,,,
Yankees Chicken,London,,,,,,
New Oriental Fusion,London,,,,,,
Cook N Curry,London,Indian,,,,,
Amazing Wok,London,Chinese,,,,,
Cfc,London,,,,,,
Pizza 2 Hot,London,,,,,,
Nakis,London,,,,,,
Jamandas,London,,,,,,
Happy Garden,London,,,,,,
Yummy,London,,,,,,
Cafe Dem,London,,,,,,
Cafe Dem,London,,,,,,
Too Sweet Takeaway,London,,,,,,
Super Pizza,London,,,,,,
Kalinka,London,,,,,,
Viet Taste,London,,,,,,
Wood Oven Pizza,London,,,,,,
Secret Recipe,London,Thai,,,,,
Cuisine A La Leke,London,,,,,,
Village Kebab House,London,,,,,,
Essential Ingredient,London,,,,,,
Wings Noodle,London,Asian,,,,,
Morleys,London,,,,,,
Fortune Inn Noodle Bar,London,Asian,,,,,
Herberts Kebabs,London,,,,,,
Jade Garden Chinese Takeaway,London,Chinese,,,,,
Lahori Tandoori,London,Indian,,,,,
The Sweet House And Friends,London,,,,,,
Caribbean Queen,London,,,,,,
Peking Inn,London,,,,,,
Freshcode,London,,,,,,
Dixy Chicken,London,,,,,,
Marmar Coffees,London,,,,,,
Pingo Doce,London,,,,,,
Protein By Dunne Frankowski,London,,,,,,
Al Rayan,London,,,,,,
El Panzon,London,,,,,,
Jaffran,London,,,,,,
Noodle 8,London,Asian,,,,,
Pizza Dice,London,,,,,,
HMA Chicken And Pizza,London,,,,,,
Fresco,London,,,,,,
New Bamboo,London,,,,,,
Royal Taste,London,,,,,,
Just Very Homely,London,,,,,,
Karahi Master,London,,,,,,
Lotus House,London,,,,,,
BBQ House,London,Barbecue,,,,,
Gourmet Wok,London,Chinese,,,,,
Fardeen Indian Takeaway,London,Indian,,,,,
Hot N Ready,London,,,,,,
Happy Garden,London,,,,,,
Mezcaleria Qui Qui Ri Qui,London,Pub,,,,,
Kebab Delight,London,,,,,,
Bama Drinks,London,,,,,,
Sushi Mihara,London,Sushi,,,,,
Cafe Panorama,London,,,,,,
Pandoos,London,,,,,,
Kwan Yet,London,,,,,,
Balti House,London,,,,,,
How Cha Chinese Takeaway,London,Chinese,,,,,
Pizza On Demand!,London,,,,,,
Bollywood Nites,London,,,,,,
Curry Leaf,London,Indian,,,,,
New Oriental Diner,London,,,,,,
Bombay Rasoi,London,,,,,,
Wow West Indian Cuisine,London,Indian,,,,,
Amazing Rice And Spice,London,Thai,,,,,
Chicken Hut,London,,,,,,
Demai Express,London,,,,,,
Curry King,London,Indian,,,,,
China Inn,London,Chinese,,,,,
Patrisey Restaurant,London,,,,,,
Marble,London,,,,,,
Ferry Fish Bar,London,Seafood,,,,,
Chicken Cottage,London,,,,,,
Pizza Point,London,,,,,,
City Fry,London,,,,,,
Tex-Mex Experience,London,,,,,,
Bouzoukia On The Hill,London,,,,,,
Chicken Delight,London,,,,,,
Soho Sandwich Co,London,,,,,,
Old Harbour Bay Caribbean Takeaway,London,,,,,,
Cafe Express,London,,,,,,
Maizban Cuisine,London,,,,,,
Laziz Grill And Steak,London,Steakhouse,,,,,
Chicken Cottage,London,,,,,,
Balti Lord,London,,,,,,
Chilli and Spice,London,Thai,,,,,
Normas Blessed Hands,London,,,,,,
Kfc,London,American,,,,,
Hospitality Concepts,London,Greek,,,,,
Andor Bureau,London,,,,,,
Royal Fishbar,London,Seafood,,,,,
Golden Star,London,,,,,,
Spice Hut,London,Thai,,,,,
Le Cafe,London,,,,,,
Wimbledon Pizza,London,,,,,,
Southside Spice And Grill,London,Thai,,,,,
New Speedo Pizza,London,,,,,,
Penang Express,London,,,,,,
Penang Express,London,,,,,,
Kfc,London,American,,,,,
Antep Cafe,London,,,,,,
Shah Noor Balti House,London,,,,,,
Star Grill,London,,,,,,
Sylhet Cafe Ltd Trading As Cafe Pfc,London,"Indian, Cafe, Fast Food, Asian, Bangladeshi",,,,,
Dante,London,,,,,,
Kfc,London,American,,,,,
Il Capo,London,,,,,,
Masala Spice,London,"Indian, Thai",,,,,
Chef Danny Jack,London,,,,,,
Il Piccolo Cafe,London,,,,,,
Bon Appetit kitchen,London,,,,,,
Gorillers,London,,,,,,
Roti Express,London,,,,,,
Marlons Kitchen,London,,,,,,
HealthyChef,London,,,,,,
Sabel,London,,,,,,
Tuck - Tuckfood,London,,,,,,
Amnesia Shisha Lounge,London,,,,,,
Blooming Good Coffee,London,,,,,,
Marino Restaurant-Bar,London,,,,,,
Urban Picnic,London,,,,,,
The Pocket Cafe,London,,,,,,
Sassafras,London,,,,,,
CurryVolution,London,Indian,,,,,
Realpubs,London,Pub,,,,,
Food4u,London,,,,,,
The International Cafe,London,,,,,,
Coffee & Creamz,London,,,,,,
Vietnomnom,London,,,,,,
Kwachas Kitchen,London,,,,,,
Margo & Julias,London,,,,,,
Nam Me Up,London,,,,,,
Camberwell Love,London,,,,,,
Sustainable Supper Pop-Up Restaurant,London,,,,,,
Rocking Chair Cafe,London,,,,,,
Project 94,London,,,,,,
Ayahs Shisha,London,,,,,,
Atlantico Cafe,London,Seafood,,,,,
Swordtail,London,,,,,,
Poolside Cafe,London,,,,,,
X cafe deli,London,,,,,,
Phet Sri Siam Thai Diamond Cuisine,London,Thai,,,,,
Number 1فلافل,London,,,,,,
Felix-Eats,London,,,,,,
Piece of Heaven,London,,,,,,
Coffee Corner,London,,,,,,
Chucks Clubhouse,London,,,,,,
Khaima Shisha Lounge,London,,,,,,
Boardwalk Bites,London,,,,,,
Brixton Attic,London,,,,,,
Jade & Verde,London,Chinese,,,,,
Slojos,London,,,,,,
Scotties Coffee,London,,,,,,
Just@,London,,,,,,
Abbey Point Cafe & Bed and Breakfast,London,,,,,,
Donzoko,London,,,,,,
At Home By Tom Tom,London,,,,,,
Arshiyas Kitchen,London,,,,,,
5 Star Shisha,London,,,,,,
Chicki Now,London,,,,,,
2DAP,London,,,,,,
Magyar Etterem London,London,,,,,,
Waziri Darbar Resturant,London,,,,,,
Native Sensations,London,,,,,,
Fortune Woks,London,Chinese,,,,,
Lin Kee,London,,,,,,
YAS cafe & patisserie,London,,,,,,
Cyprus Nese Bar,London,,,,,,
Bombay Palace Express,London,,,,,,
The NY Meatball Shop,London,Steakhouse,,,,,
Que Arepas,London,Spanish,,,,,
Greek Options,London,Greek,,,,,
Cindys Restaurant & Bar,London,,,,,,
Fantasy Food,London,,,,,,
Almanara Kensington,London,,,,,,
Duniya Restaurant,London,,,,,,
Chasing Dragon,London,,,,,,
Omeleat,London,,,,,,
El Amigos Mexican Takeaway,London,Mexican,,,,,
Shades Special Food Palace,London,,,,,,
Mykaffee,London,,,,,,
African Delight Restaurant,London,,,,,,
Hyderabad Kitchen,London,,,,,,
Yard Style Kitchen,London,,,,,,
Top That Sugar Toppers,London,,,,,,
Cake Walk London,London,,,,,,
Ahaba Cafe,London,,,,,,
Elbacha/efendy Shisha,London,,,,,,
Corazon Latino,London,,,,,,
Kutum Bari,London,,,,,,
Cedar Village,London,,,,,,
Jus Desserts,London,,,,,,
Supasuya,London,,,,,,
Molina Cafe & Restaurant,London,,,,,,
K Grannys Cake,London,,,,,,
Regents Park Grill Restaurant,London,,,,,,
Cho Cho Resturant and Bar Official,London,,,,,,
Spicerac,London,Thai,,,,,
Expressions Cafe & Gallery,London,,,,,,
Mama Xanadus,London,,,,,,
Peters Fish Bar,London,Seafood,,,,,
The Natural Grill House,London,,,,,,
The Carlton Club,London,,,,,,
Mama Sephlyn,London,,,,,,
Morning Glory Cafe,London,,,,,,
Students Union - Le Cafe,London,,,,,,
Win & Lily Oriental Fine Foods,London,Seafood,,,,,
Loafe Cafe,London,,,,,,
Hogdogz,London,,,,,,
H + H Highbury,London,,,,,,
Vinyl Canteen,London,,,,,,
Lovegrain,London,,,,,,
TechniColour Feast,London,,,,,,
Island Jerk Flame Grill Restaurant,London,,,,,,
Japanese Fusion,London,Japanese,,,,,
Imperial Flavors East,London,,,,,,
Urban Sizzler,London,,,,,,
ZAYNA - Egyptian Cafe & Shisha Bar,London,,,,,,
ZAYNA - Egyptian Cafe & Shisha Bar,London,,,,,,
Farmhouse Pizza,London,,,,,,
Taverna LU Fane,London,Greek,,,,,
Zagros Cafe,London,,,,,,
The Roundtable,London,,,,,,
Bar Restaurant Avanti,London,,,,,,
Moccia,London,,,,,,
Yummie,London,,,,,,
Jot koffi,London,,,,,,
Beataz Bake,London,,,,,,
Al-Jannah,London,,,,,,
Flavins Tea Room,London,,,,,,
Classico,London,,,,,,
Naked Balls Ltd,London,,,,,,
Novanta trattoria moderna- Pizzeria,London,"Italian, Pizza",,,,,
HAREM Ocakbasi Restaurant,London,,,,,,
Blummy Pancake House,London,,,,,,
Meatball Shop in London,London,Steakhouse,,,,,
Subway Highbury,London,,,,,,
Ali Babas Kitchen,London,,,,,,
Hot Pink Moist,London,,,,,,
Crooks BBQ,London,Barbecue,,,,,
Agrabaa,London,,,,,,
Meat The Chaps,London,Steakhouse,,,,,
The Fox and Grapefruit,London,,,,,,
La Marmotte,London,,,,,,
Marcs Coffee Stop,London,,,,,,
KT Shisha Cafe,London,,,,,,
Fatty Boom Boom,London,,,,,,
Smoove Operators,London,,,,,,
Mister A Restaurant,London,,,,,,
Hibiscusfoodman,London,,,,,,
Swan Lane Cafe,London,,,,,,
Chu And Cho,London,,,,,,
Pierre nue,London,,,,,,
Deeqow Cafe And Bar,London,,,,,,
Total Restaurant Solution,London,Indian,,,,,
Momtaz Shisha Neasden,London,"Lebanese, Mediterranean",,,,,
Krishna Palace,London,,,,,,
Mamma Angela,London,,,,,,
The Refuge,London,European,,,,,
BAR BBQ,London,Barbecue,,,,,
Red lion,London,"Middle Eastern, Afghani",,,,,
Fressco Express,London,"Lebanese, Mediterranean",,,,,
Babur Empire,London,,,,,,
Hebah,London,,,,,,
291 Gallery,London,,,,,,
Sami Hussain,London,Grill,,,,,
Local Friends,London,Chinese,,,,,
Underbar,London,Wine Bar,,,,,
Euro Fried Chicken,London,,,,,,
Ranya Cafe,London,,,,,,
Nimkat,London,"Middle Eastern, Persian",,,,,
Pan Chai,London,,,,,,
Shaheen,London,,,,,,
Raj Moni,London,,,,,,
Fresh Grill,London,,,,,,
Jasons Restaurant,London,,,,,,
Candb,London,,,,,,
Pimento Grove,London,,,,,,
Pimento Grove,London,,,,,,
Back To Basics,London,,,,,,
LOperetta - Italian Restaurant,London,Italian,,,,,
Lupa Cucina,London,,,,,,
Smaland Coffee,London,,,,,,
Amphora Restaurant And Wine Bar,London,"Vietnamese, Wine Bar",,,,,
Al Hamzah Kebabish,London,,,,,,
C & Y Oriental,London,,,,,,
Pizza On Demand,London,,,,,,
Chicago Hot Pizza,London,,,,,,
Golden Bengal / Bay Of Bengal,London,,,,,,
The Spot Soul Food Kitchen,London,,,,,,
Golden Bowl,London,,,,,,
Chicken Palace,London,,,,,,
CRUZ 5 A DAY,London,,,,,,
Us Way Pizza,London,,,,,,
Pizza Pronto,London,,,,,,
Rogerios,London,,,,,,
Baishaki Restaurant,London,,,,,,
Cedar Lounge,London,,,,,,
Jomuna Brasserie,London,French,,,,,
Nam An,London,,,,,,
Caffe Uno,London,,,,,,
Avellino Restaurant,London,,,,,,
Cranks Express,London,,,,,,
Pavlou N,London,,,,,,
Oasis Polish Restaurant,London,,,,,,
Mcdonalds Restaurants,London,,,,,,
Bbs,London,,,,,,
Kebab Burger Chicken,London,,,,,,
Concordia Notte,London,,,,,,
Chilis,London,Mexican,,,,,
The Olive Branch,London,Greek,,,,,
Bodeca Bar And Restaurant,London,,,,,,
Woo Sun,London,,,,,,
Nar Bar And Grill,London,,,,,,
Chatt Masalla,London,,,,,,
Burma,London,,,,,,
Agro Tandoori,London,Indian,,,,,
Lions Fried Chicken,London,,,,,,
Moyo Ma,London,,,,,,
Mo Filao,London,,,,,,
Kamana Restaurant,London,,,,,,
Bar None,London,,,,,,
Starburger,London,,,,,,
Le Wei Xiang,London,,,,,,
Tragus Holdings,London,,,,,,
Pizza Go Go,London,,,,,,
Doughmasters,London,,,,,,
LAuberge De LEst,London,,,,,,
Rajah Sapphire,London,,,,,,
The Little Singapore,London,,,,,,
Double Pizza,London,,,,,,
203 Nigerian Restaurant and Wine Bar,London,Wine Bar,,,,,
West Bridge The,London,,,,,,
Times Pizza,London,,,,,,
Sheras Kitchen,London,,,,,,
Red Devil,London,,,,,,
Akash Tandoori,London,Indian,,,,,
Pandoos,London,,,,,,
Pandoos,London,,,,,,
Carlton London Cafe,London,,,,,,
Yumchi,London,,,,,,
Deya,London,,,,,,
Nivla,London,,,,,,
Pardoe & Wood,London,,,,,,
Melito,London,,,,,,
Belly Heaven,London,,,,,,
Detroit,London,,,,,,
Alchemi Restaurant,London,,,,,,
Jin Korean Restaurant,London,,,,,,
Atlantic Sandwich Bar,London,Seafood,,,,,
New Sea Garden,London,,,,,,
Oshobasho Cafe,London,,,,,,
Hot And Tasty Pizza,London,,,,,,
Rosalinds Kitchen,London,,,,,,
Flip n Grill,London,,,,,,
Red Rose City,London,,,,,,
Cafe Du Village,London,,,,,,
Marribella,London,,,,,,
Skorpios Restaurant,London,,,,,,
Wok U Like,London,Chinese,,,,,
Khaana,London,,,,,,
Hellenik,London,,,,,,
The Garratt Restaurant,London,,,,,,
Mangosteen,London,,,,,,
Vegan Kitchen,London,"Italian, Chinese, Indian, Vegetarian Friendly, Vegan Options",,,,,
Abba Kitchen,London,,,,,,
New Sushi,London,Sushi,,,,,
Taris Restaurant,London,,,,,,
Red Sky Cafe,London,,,,,,
Degrill West Indian Takeaway,London,Indian,,,,,
Talkafe,London,,,,,,
